,screenName,userId,text,location,multi-team
50,StephanieSWard1,1340195240.0,"Walked 3 laps around the park with my mom, hatched 2 eggs and got this big boy in a gym! #TeamValor https://t.co/H7anUhCLM5",Cottage Hill Park,False
51,hdgelman,1023457075.0,you gotta say no homo before joining team instinct,"Florida, USA",False
52,WhataJry,1419299107.0,#TeamValor,"Houston, TX",False
53,ONAonFLICKR,225708694.0,Go Team Mystic!! https://t.co/gOsFftxumv,"Severn, MD",False
54,TommyNapolitano,2415163255.0,@Lewdblockify So he says problematic &amp; stupid stuff?? I see ppl on Team Mystic saying they wanna quit cuz he joined so I'm curious xD;,"Florida, USA",False
55,backup0ffm3,293977739.0,"Welp is been decided...#TeamValor @ Tampa, Florida https://t.co/14XUqkkF7l","Tampa, FL",False
56,SamichsMachines,3337432331.0,@AngiViper #TeamMystic,"National City, CA",False
57,Vspotcat,7.413442070511985e+17,All the #PokemonGO in Seattle! #TeamInstinct https://t.co/ghV9F87DmF,"Seattle, WA",False
58,Jamie_Neal865,4539602652.0,Pokémon Go #TeamMystic https://t.co/GlO1wdeIgY,"Texas, USA",False
59,pinkypierce,55104261.0,Downtown wh is always poppin #pokemongo #teamvalor #teamred #redordead #pokestop #snorlax… https://t.co/5QwwozfntE,"Winter Haven, FL",False
60,SammyVega98,7.519296520343716e+17,Met some cool people last night during this ⚡️😆 #TeamInstinct #PokemonGO https://t.co/siJdhJe1DL,"Sevierville, TN",False
61,Bluetieguy99,2584960579.0,This is my #TeamBlue #Roadtoglory #WWESuperCard starts in 3 hours I'm ready to fight 🙏🙏🙏 https://t.co/BiR0mqEHGL,"Bryan, TX",False
62,branmuffinbob,3268559538.0,#TeamValor  https://t.co/DXX01Im2F6,"Minneapolis, MN",False
63,flacko_jordye,2277819536.0,Team Mystic will be taking over the area in due time,"Ohio, USA",False
64,eswaggins,16499791.0,@DelrayKava team Mystic!!! 😀😀👍🏼👍🏼👌🏼,"Palm Beach Gardens, FL",False
65,ctnash91,95492577.0,Just took over the @wgbh gym for #TeamMystic. 👍 #PokemonGo https://t.co/bloSw8EKUQ,"Boston, MA",False
66,pyle_marie,2957940247.0,If my friends our not on team #TeamValor i'm never there friend again,"Arkansas, USA",False
67,anipgigileta,454121809.0,Coming from #TeamInstinct guys @irfan_hamdi @affiq_aizzad @ameerfarhann @zaifrulassiddiq  https://t.co/KbULm7nuOB,"Philadelphia, PA",False
68,Shelby_Norris_,167906583.0,this is my favorite thing #TeamValor https://t.co/pDPWaYfDal,"Florida, USA",False
69,TrittyCortez,2931812293.0,Whoa I found the #TeamValor meeting room https://t.co/o0BNFz7WLA,"Texas, USA",False
70,pyle_marie,2957940247.0,#TeamValor https://t.co/0TrvHSATNy,"Arkansas, USA",False
71,torrifying,594053585.0,#TeamInstinct https://t.co/37kse548sq,"Walnutport, PA",False
72,ethanpiechota9,7.297240247296696e+17,#TeamMystic,"Long Beach, CA",False
73,rebemurph,554829806.0,I'm Team Instinct and honestly that's all that matters,"Chicago, IL",False
74,MixedBoii87,18671004.0,@Chonwe3 #TeamMystic will not take this foolery! https://t.co/xPE1riIPCa,"Irving, TX",False
75,DrClaytonn,339155487.0,You Already know Team Mystic💙💙 https://t.co/fUrAKhYJWy,"Lake Magdalene, FL",False
76,AH_Aleks,1143068802.0,If you aren't on Team Valor we aren't friends 🙃,"Deming, NM",False
77,RickMenasce,445972623.0,What a great day to be a pokemon master! #pokemon #teamyellow #zapdos #teaminstinct #pokemonGO… https://t.co/eRMbPdeQVP,"Boston, MA",False
78,IamMedellin,294505592.0,@Remymeow the cleansing fire #everythingBurns #TeamValor,"North Smithfield, RI",False
79,JaymieVan,1942375298.0,Team Instinct be getting a little grabby with the gyms lately,"Florida, USA",False
